category,rating,reviews,size,price,content_rating,last_updated_on,release_version,os_version_required,downloads
Entertainment,2.99,78,3.4M,Free,Everyone,Jan 25 2020,10.0.3,5.0 and up,"1,000,000+"
Social,3.89,2912,8.8M,Free,Everyone,Apr 19 2020,3.1.1,4.4 and up,"500,000+"
Social,4.2,83488,Varies with device,Free,Everyone,Aug 28 2019,Varies with device,Varies with device,"5,000,000+"
Photography,3.94,295,14M,Free,Everyone,Nov 16 2019,1.0.7,4.1 and up,"10,000+"
Communication,4.4,27540,3.7M,Free,Everyone,Feb 09 2019,1.26.001,4.0 and up,"1,000,000+"
Game Racing,4.22,12135,96M,Free,Everyone,May 01 2020,1.13.2,4.2 and up,"5,000,000+"
Photography,4.2,1028637,Varies with device,Free,Everyone,Jan 25 2019,Varies with device,Varies with device,"100,000,000+"
Education,3.33,3,30M,Free,Everyone,Apr 24 2020,1.3.0,4.1 and up,100+
Game Arcade,4.46,70971,51M,Free,Everyone,Apr 14 2019,1.4.2,4.0.3 and up,"10,000,000+"
Entertainment,4.61,111,2.5M,Free,Everyone,Aug 05 2018,2,2.3 and up,"5,000+"
Game Puzzle,4.37,40322,85M,Free,Everyone,Apr 16 2020,1.3.7,4.4 and up,"1,000,000+"
Books And Reference,4.57,1039,5.6M,Free,Everyone,Mar 17 2020,2.8.0.6.cu,4.1 and up,"100,000+"
News And Magazines,4.5,27,7.1M,Free,Everyone,Jun 10 2019,7.5.0,4.1 and up,500+
Education,3.83,29,4.9M,Free,Everyone,Apr 28 2020,1,4.1 and up,"10,000+"
Books And Reference,4.49,230,2.0M,Free,Everyone,Jun 12 2015,1,2.1 and up,"50,000+"
Game Arcade,3.67,3,9.2M,Free,Everyone,Mar 11 2019,1.1,3.0 and up,10+
Game Board,1.92,1100,28M,Free,Everyone,May 06 2020,1.1.0,4.1 and up,"10,000+"
Game Card,3.77,1645,3.9M,Free,Everyone,Dec 15 2019,1.31,2.3.3 and up,"100,000+"
Personalization,4.68,1207,18M,Free,Mature 17+,Apr 03 2020,1.5.0,4.1 and up,"100,000+"
Travel And Local,3.3,256,17M,Free,Everyone,Sep 05 2019,1.1.2,5.0 and up,"100,000+"
Game,3.8,469,80M,Free,Everyone,Jun 23 2018,1.4,4.0 and up,"10,000+"
Video Players,3.3,381023,53M,Free,Everyone,Aug 30 2019,2.7.8,4.0 and up,"10,000,000+"
Maps And Navigation,4.6,7232629,Varies with device,Free,Everyone,Sep 02 2019,Varies with device,Varies with device,"100,000,000+"
News And Magazines,5.0,10,4.1M,Free,Everyone,Apr 16 2020,1.1.1,4.0.3 and up,"1,000+"
Books And Reference,4.24,33,4.0M,Free,Everyone,May 10 2019,4.1,4.0.3 and up,"1,000+"
Business,4.0,55,5.7M,297.5742,Everyone,Sep 07 2018,1.25,2.1 and up,"1,000+"
Lifestyle,4.2,134,1.8M,2833.2942000000003,Everyone,Aug 22 2018,1.0,4.0.3 and up,"1,000+"
Books And Reference,4.45,251667,Varies with device,Free,Everyone,Mar 21 2020,3.2.29-1,1.5 and up,"10,000,000+"
Family,4.1,23609,31M,Free,Teen,May 18 2019,1.26,4.0 and up,"1,000,000+"
Finance,3.5,100,11M,Free,Everyone,Jul 18 2018,3.0.830,4.0 and up,"10,000+"
Education,4.46,118,3.4M,Free,Everyone,Apr 01 2020,3.1b,4.4 and up,"50,000+"
Parenting,4.6,62386,3.4M,Free,Everyone,Jul 17 2019,2.7,4.0 and up,"1,000,000+"
Food And Drink,3.31,16,28M,Free,Everyone,Apr 15 2020,Varies with device,Varies with device,"5,000+"
Shopping,4.6,284725,20M,Free,Everyone,Sep 04 2019,7.2.1,4.1 and up,"10,000,000+"
Sports,4.35,39495,Varies with device,Free,Everyone,Dec 27 2019,Varies with device,Varies with device,"1,000,000+"
Tools,3.97,105275,6.1M,Free,Everyone,Mar 24 2020,1.4.4,4.1 and up,"10,000,000+"
Finance,4.7,7514,14M,Free,Everyone,Sep 04 2019,1.9.9.9.3,4.4 and up,"100,000+"
Game Puzzle,4.12,16,24M,Free,Everyone,Aug 01 2019,3.19.7zg,4.0.3 and up,"1,000+"
Travel And Local,3.54,7855,31M,Free,Everyone,May 05 2020,4.2.0.8297,4.2 and up,"1,000,000+"
Game,4.3,285814,84M,Free,Teen,Jul 31 2019,3.5,4.0 and up,"10,000,000+"
Game Casual,4.58,4344742,58M,Free,Everyone,May 02 2020,2.27.1,4.1 and up,"100,000,000+"
Video Players,4.0,46,3.1M,Free,Everyone,May 24 2016,1.0.6,3.0 and up,"5,000+"
Personalization,4.4,47393,7.2M,Free,Everyone,Jun 28 2019,1.8.0.24_180511,5.0 and up,"10,000,000+"
Lifestyle,4.55,33278,19M,Free,Everyone,Apr 29 2020,2.2,4.1 and up,"1,000,000+"
Business,1.0,1,33M,Free,Everyone,May 31 2018,43.0.0.5,4.1 and up,100+
Game Puzzle,4.35,140716,91M,Free,Everyone,Apr 25 2020,1.2.7,4.1 and up,"10,000,000+"
Business,4.33,176,2.8M,Free,Everyone,Jul 12 2019,11,4.0.3 and up,"50,000+"
Video Players,4.74,975119,99M,Free,Everyone,Apr 11 2020,5.0.5.4019-a8a5b21f5,5.0 and up,"50,000,000+"
Family,4.1,148295,26M,Free,Everyone,Apr 09 2019,1.6,4.1 and up,"10,000,000+"
Social,4.25,12,2.5M,Free,Teen,Nov 20 2019,2.0.0,4.0.3 and up,"1,000+"
Education,4.36,1158,25M,Free,Everyone,May 06 2020,2.0.13,4.1 and up,"50,000+"
Education,3.8,2469,11M,Free,Everyone,Apr 27 2019,Varies with device,Varies with device,"500,000+"
Personalization,4.52,5204,14M,Free,Everyone,Apr 14 2020,2.0.3,4.0.3 and up,"100,000+"
Game Educational,4.62,2947,54M,Free,Everyone,Apr 14 2020,1.1.0.8,4.4 and up,"500,000+"
Comics,3.73,287,2.9M,Free,Teen,May 07 2020,1.1.6,4.3 and up,"10,000+"
Medical,4.7,156410,14M,Free,Everyone,Sep 07 2019,5.9.6,4.1 and up,"5,000,000+"
Game,4.5,3778921,75M,Free,Everyone,Aug 30 2019,3.8.5.go,4.1 and up,"100,000,000+"
Game Puzzle,4.07,6916,37M,Free,Everyone,Jan 01 2020,3.3,4.1 and up,"100,000+"
Books And Reference,4.63,232,4.4M,Free,Everyone,Feb 11 2020,4,4.0.3 and up,"100,000+"
Game Card,4.13,38539,54M,Free,Teen,Apr 30 2020,1.7.2,4.4 and up,"1,000,000+"
Art And Design,4.7,121,3.1M,Free,Everyone,Aug 07 2019,2.8,4.0.3 and up,"10,000+"
Personalization,4.7,18858,15M,Free,Everyone,Apr 05 2020,3.4,4.0 and up,"1,000,000+"
Game Word,4.41,2391,41M,Free,Everyone,May 05 2017,1.0.1,2.3.3 and up,"100,000+"
Auto And Vehicles,4.45,483,26M,Free,Everyone,Dec 07 2019,3.0.6,4.0.3 and up,"10,000+"
Video Players,3.81,6894,2.1M,Free,Everyone,Jan 13 2020,4.2,4.4 and up,"1,000,000+"
Books And Reference,4.58,61955,8.0M,Free,Everyone,Feb 25 2020,4.2.1,2.3 and up,"1,000,000+"
Lifestyle,4.61,172,39M,Free,Everyone,Feb 06 2020,3.1,4.1 and up,"10,000+"
Books And Reference,4.44,118,67M,222.9942,Everyone,Dec 17 2019,3.0.1,4.1 and up,500+
Music And Audio,4.6,116,15M,Free,Everyone,Jan 03 2019,1,4.0 and up,"10,000+"
Game Puzzle,4.85,74875,71M,Free,Everyone,May 01 2020,1.32.0,4.4 and up,"1,000,000+"
Communication,5.0,1,26M,Free,Everyone,Dec 28 2019,1.2.4,4.1 and up,10+
Productivity,3.41,1966,46M,Free,Everyone,Apr 18 2020,3.4.0,4.0 and up,"100,000+"
Business,4.49,21671,Varies with device,Free,Everyone,Apr 30 2020,Varies with device,Varies with device,"1,000,000+"
Education,4.45,1256,18M,Free,Everyone,Nov 16 2019,2.4,4.0.3 and up,"100,000+"
Finance,4.8,12,2.7M,Free,Everyone,Jul 18 2019,2.1,5.0 and up,"1,000+"
Productivity,4.33,603,Varies with device,409.4442,Everyone,Apr 25 2020,Varies with device,Varies with device,"5,000+"
Music And Audio,4.25,3636,6.1M,Free,Teen,Dec 21 2017,1,4.1 and up,"100,000+"
Game,4.3,22333,9.7M,Free,Everyone 10+,Sep 11 2019,2.01,4.3 and up,"1,000,000+"
Business,4.68,580,12M,Free,Everyone,Apr 20 2020,2.4.4_startup,4.4 and up,"50,000+"
Social,4.3,99557,Varies with device,Free,Mature 17+,May 06 2020,Varies with device,Varies with device,"1,000,000+"
Game Educational,4.22,29751,Varies with device,Free,Everyone,Mar 31 2020,3.4,4.0.3 and up,"5,000,000+"
Education,4.82,1794,29M,Free,Everyone,Mar 23 2020,6.0.3,4.0.3 and up,"100,000+"
Finance,3.88,68,2.3M,Free,Everyone,Sep 29 2016,1.1,4.4 and up,"10,000+"
Sports,4.5,10,45M,Free,Everyone,Apr 18 2020,171.14.1,5.0 and up,"1,000+"
Tools,4.37,10540,Varies with device,Free,Everyone,Jun 15 2016,Varies with device,Varies with device,"1,000,000+"
Books And Reference,4.5,30785,4.1M,Free,Everyone,Mar 15 2020,2.74,4.1 and up,"1,000,000+"
Entertainment,3.78,160,1.2M,Free,Everyone,Apr 06 2018,1.2.4,2.3 and up,"50,000+"
Travel And Local,4.3,2235,25M,Free,Everyone,Mar 04 2020,3.3.0,5.0 and up,"100,000+"
Game Action,4.3,572020,61M,Free,Mature 17+,Nov 03 2019,2.6.0,4.0.3 and up,"10,000,000+"
Food And Drink,5.0,1,8.1M,Free,Everyone,Nov 08 2019,1.0.149,6.0 and up,100+
Books And Reference,4.53,17628,Varies with device,Free,Everyone,Apr 28 2020,Varies with device,Varies with device,"500,000+"
Family,5.0,3,4.0M,Free,Everyone,Sep 05 2019,1.0.5,4.4 and up,100+
Game Arcade,4.31,6066,34M,Free,Everyone,Feb 15 2020,12,4.1 and up,"1,000,000+"
Tools,4.37,51,8.9M,Free,Everyone,Feb 29 2020,2.3.0,4.1 and up,"1,000+"
Game Puzzle,4.46,377,Varies with device,Free,Everyone,Feb 09 2018,Varies with device,Varies with device,"10,000+"
Maps And Navigation,4.7,38375,49M,Free,Everyone,Aug 30 2019,3.0.2,4.1 and up,"1,000,000+"
Entertainment,4.39,44,66M,Free,Everyone,Dec 18 2019,2.2,4.2 and up,"10,000+"
Medical,3.69,823,35M,Free,Everyone,Apr 10 2020,1.7.0.221.44,5.0 and up,"100,000+"
Tools,4.4,393,4.6M,Free,Everyone,Mar 02 2020,2.5,4.1 and up,"100,000+"
Education,4.95,39,6.2M,Free,Everyone,Mar 13 2020,1.1.6,4.2 and up,500+
Tools,4.4,115479,551k,Free,Everyone,May 19 2016,1.0.70,1.6 and up,"10,000,000+"
Travel And Local,3.4,39,32M,190.9248,Everyone,Aug 24 2014,1.3.1,2.2 and up,"1,000+"
Shopping,4.5,44588,20M,Free,Everyone,Aug 16 2019,9.0.0,4.4 and up,"5,000,000+"
Dating,4.2,40035,6.5M,Free,Mature 17+,Aug 31 2019,1.31.3,4.0.3 and up,"1,000,000+"
Medical,4.4,716,9.9M,Free,Everyone 10+,Sep 10 2019,1.3,4.0.3 and up,"100,000+"
Lifestyle,3.75,54822,Varies with device,Free,Everyone,May 05 2020,Varies with device,Varies with device,"10,000,000+"
Photography,4.08,20152,9.1M,Free,Everyone,Mar 30 2020,2,5.0 and up,"1,000,000+"
Game Puzzle,4.33,3632,8.4M,148.4142,Everyone,Feb 15 2020,1.0.12,4.0.3 and up,"50,000+"
Entertainment,3.7,18523,Varies with device,Free,Teen,Aug 06 2019,Varies with device,Varies with device,"1,000,000+"
Food And Drink,5.0,1,11M,Free,Everyone,Jun 20 2019,1.0.130,6.0 and up,100+
Family,5.0,22,3.6M,Free,Everyone,Dec 12 2018,2.0,4.4 and up,"1,000+"
Dating,3.7,76646,Varies with device,Free,Mature 17+,Aug 27 2019,Varies with device,Varies with device,"10,000,000+"
Game Puzzle,4.68,943,2.7M,Free,Everyone,Feb 14 2020,1.0.8,4.4 and up,"100,000+"
Productivity,3.66,1730,Varies with device,Free,Everyone,Apr 16 2020,Varies with device,Varies with device,"500,000+"
Game,3.5,46801,60M,Free,Everyone,Sep 07 2019,3.4.6,4.1 and up,"1,000,000+"
Game Music,4.44,73455,Varies with device,Free,Everyone,Jan 26 2020,3.0.9,4.1 and up,"5,000,000+"
Tools,3.3,673,3.5M,Free,Everyone,Jan 16 2020,2.0.0,8.0 and up,"10,000+"
Entertainment,4.18,15483,23M,Free,Teen,Apr 25 2020,25.19.1,4.4 and up,"1,000,000+"
Education,4.37,295,3.2M,Free,Everyone,Apr 16 2020,1.4,4.0.3 and up,"50,000+"
Business,4.2,5,11M,Free,Everyone,Jul 18 2019,1,4.2 and up,500+
Books And Reference,4.92,351,46M,Free,Everyone,Apr 19 2020,5,4.3 and up,"10,000+"
Communication,3.67,3,2.1M,Free,Everyone,Mar 19 2020,7.1,4.0 and up,"1,000+"
Education,4.62,75718,29M,Free,Everyone,Apr 03 2020,4.2.319,4.4 and up,"1,000,000+"
Sports,4.4,133825,34M,Free,Everyone 10+,Aug 29 2019,6.17.2,4.4 and up,"10,000,000+"
Game Puzzle,4.35,484,5.1M,Free,Everyone,Apr 20 2020,1.2.06,4.0.3 and up,"100,000+"
Entertainment,4.49,758,77M,Free,Everyone,May 01 2020,1.3,2.3 and up,"50,000+"
Health And Fitness,3.6,542,1.7M,Free,Everyone,Apr 09 2018,1.7,2.3.3 and up,"50,000+"
Travel And Local,4.72,18,47M,Free,Everyone,Dec 06 2019,1.1,4.4 and up,"1,000+"
Education,4.26,561,3.1M,297.5742,Everyone,Oct 16 2019,1.0.1.2018090701,2.1 and up,"10,000+"
Game Educational,3.88,8,54M,Free,Everyone,Dec 28 2019,2.1,5.0 and up,100+
Tools,4.56,23999,4.2M,Free,Everyone,Mar 03 2020,1.2.1,4.1 and up,"100,000+"
Lifestyle,4.59,39,594k,Free,Everyone,Dec 13 2019,8.0.0,4.4 and up,"10,000+"
Game,3.8,17,30M,Free,Everyone,Apr 17 2019,1.5,7.0 and up,"1,000+"
Music And Audio,4.32,171,5.5M,Free,Everyone,Apr 09 2020,1.1.1,4.1 and up,"50,000+"
Game Puzzle,4.49,651,68M,73.8342,Everyone,Oct 29 2019,1.13,4.1 and up,"100,000+"
Finance,3.17,2905,2.3M,Free,Everyone,Dec 24 2019,1.0.6,4.1 and up,"1,000,000+"
Books And Reference,4.57,888,1.5M,Free,Everyone,Aug 18 2014,1,1.6 and up,"100,000+"
Game Simulation,4.29,57932,44M,Free,Everyone,Apr 24 2020,1.2.8,4.1 and up,"1,000,000+"
Game Action,4.02,687,41M,Free,Everyone,Aug 21 2019,1.1.1,4.4 and up,"100,000+"
Business,3.72,279,7.7M,Free,Everyone,Dec 24 2019,1.2.4.2018111501,4.4 and up,"50,000+"
Education,4.66,4268,18M,Free,Everyone,Apr 27 2020,1.7,4.0 and up,"100,000+"
Food And Drink,4.65,2291,Varies with device,446.7342,Everyone,May 05 2020,Varies with device,Varies with device,"10,000+"
Education,4.51,47,9.3M,Free,Everyone,Feb 28 2020,3.2.4,4.1 and up,"1,000+"
Health And Fitness,4.76,62164,12M,Free,Everyone,Apr 15 2020,2018.01.01,3.2 and up,"1,000,000+"
Photography,4.3,68071,Varies with device,Free,Everyone,Jun 09 2019,Varies with device,Varies with device,"5,000,000+"
Lifestyle,5.0,3,8.6M,Free,Everyone,Jun 27 2018,1.0,4.1 and up,50+
Family,4.5,354454,71M,Free,Everyone,Aug 06 2019,6.4.0,4.1 and up,"10,000,000+"
Lifestyle,4.44,758,1.9M,Free,Everyone,Mar 04 2020,1.1,6.0 and up,"10,000+"
Dating,3.7,1439,38M,Free,Mature 17+,Sep 03 2019,1.1.46,4.2 and up,"50,000+"
Video Players,3.7,11549,Varies with device,Free,Teen,Aug 17 2019,Varies with device,Varies with device,"1,000,000+"
Game Action,4.45,4985,29M,297.5742,Everyone 10+,Apr 14 2020,1.1.4,5.1 and up,"50,000+"
Travel And Local,4.57,71937,10M,Free,Everyone,May 01 2020,7.2.0,5.0 and up,"5,000,000+"
Game,4.5,14200550,52M,Free,Everyone,Sep 04 2019,4.0.0,4.0.3 and up,"100,000,000+"
Music And Audio,4.73,1415,19M,Free,Everyone,Nov 24 2019,1.5,4.0.3 and up,"100,000+"
Game Educational,4.44,101967,50M,Free,Everyone,May 06 2020,1.0.68,4.1 and up,"5,000,000+"
Family,4.1,10758,8.0M,372.1542,Everyone 10+,Jan 18 2017,Varies with device,4.0.3 and up,"100,000+"
Sports,4.42,410,5.5M,Free,Everyone,Mar 05 2020,11.7,4.2 and up,"10,000+"
Productivity,4.21,77797,15M,Free,Everyone,Apr 24 2020,14.2.0,4.4 and up,"10,000,000+"
Entertainment,3.67,15,58M,Free,Everyone,Feb 02 2019,1,4.0.3 and up,"10,000+"
Game Strategy,3.0,4,22M,Free,Teen,Apr 09 2020,208,4.1 and up,500+
Maps And Navigation,4.18,3761,5.4M,Free,Everyone,Dec 07 2019,2,4.1 and up,"500,000+"
Finance,4.45,1779,23M,Free,Everyone,Mar 19 2020,2.2.0,4.1 and up,"500,000+"
Education,4.54,13395,27M,Free,Everyone,May 06 2020,3.4.4,4.0.3 and up,"100,000+"
Tools,4.13,335,6.2M,Free,Everyone,May 02 2018,1.8,3.0 and up,"100,000+"
Weather,3.62,50,16M,Free,Everyone,Dec 14 2018,1.1.0,4.4 and up,"10,000+"
Productivity,4.21,16374,9.0M,Free,Everyone,May 30 2017,4.0.7.3,4.1 and up,"1,000,000+"
Lifestyle,5.0,2,7.6M,Free,Everyone,Nov 11 2018,1,2.3 and up,500+
Personalization,4.64,212,3.2M,Free,Everyone,Jan 09 2020,1.1.1,4.0.3 and up,"10,000+"
Game Word,4.39,66785,1.0M,Free,Everyone,Nov 02 2016,2.3,2.3 and up,"1,000,000+"
Travel And Local,4.2,2129707,Varies with device,Free,Everyone,Sep 10 2019,Varies with device,Varies with device,"1,000,000,000+"
Photography,4.4,1163232,31M,Free,Everyone,Aug 24 2019,3.4.0,4.0.3 and up,"50,000,000+"
Communication,4.16,25,22M,Free,Teen,May 01 2020,47,4.0.3 and up,"1,000+"
Productivity,4.4,2352,Varies with device,Free,Everyone,May 06 2020,Varies with device,Varies with device,"500,000+"
Game Arcade,4.01,7713,5.0M,Free,Everyone,Mar 02 2020,2.2.1,Varies with device,"1,000,000+"
Tools,4.59,34,6.0M,222.9942,Everyone,May 03 2020,3.5.0,5.0 and up,100+
Entertainment,4.59,52029,54M,Free,Mature 17+,May 06 2020,2.7.9,4.2 and up,"5,000,000+"
Family,3.0,480,19M,Free,Everyone,Oct 05 2018,2.40,6.0 and up,"1,000,000+"
Video Players,4.09,11,2.7M,Free,Everyone,Nov 17 2015,1.4.1,4.0 and up,"1,000+"
Travel And Local,3.0,2750,39M,Free,Everyone,Feb 26 2019,10.7.8.111,4.2 and up,"5,000,000+"
Books And Reference,4.87,846959,11M,Free,Everyone,Apr 20 2019,2.8.4,2.3 and up,"10,000,000+"
Lifestyle,4.79,43,4.5M,Free,Everyone,Mar 17 2020,1.3,4.0.3 and up,"10,000+"
Books And Reference,3.82,72,4.2M,Free,Everyone,May 10 2019,4.1,4.0.3 and up,"10,000+"
Game Casino,4.26,361529,Varies with device,Free,Teen,May 02 2020,4.8.34,4.1 and up,"10,000,000+"
Music And Audio,4.72,3509,56M,Free,Everyone,Oct 23 2019,3,2.3.3 and up,"500,000+"
Game,4.2,32849,1.5M,Free,Everyone,Nov 03 2016,2.2.13,2.3 and up,"1,000,000+"
Education,4.21,39,21M,Free,Everyone,Aug 02 2019,1,4.0.3 and up,"10,000+"
Weather,4.37,2233043,Varies with device,Free,Everyone,Apr 24 2020,Varies with device,Varies with device,"50,000,000+"
Entertainment,3.98,1442,5.2M,Free,Everyone,Jan 28 2020,9.1,4.0.3 and up,"100,000+"
Game Casual,4.42,9914,9.2M,Free,Everyone,Mar 10 2019,1.0.1,4.0.3 and up,"1,000,000+"
Productivity,4.6,1488396,Varies with device,Free,Everyone,Sep 07 2019,Varies with device,Varies with device,"100,000,000+"
Books And Reference,4.31,8125,32M,Free,Everyone,Mar 25 2020,1.3.3,4.1 and up,"500,000+"
Lifestyle,4.4,6904,Varies with device,Free,Everyone,May 05 2020,Varies with device,Varies with device,"100,000+"
Books And Reference,4.08,247,16M,Free,Everyone,Aug 26 2018,5.0.12,4.1 and up,"50,000+"
Entertainment,4.52,21,34M,Free,Everyone,Mar 12 2020,5.1,4.1 and up,"10,000+"
Game,4.3,205830,63M,Free,Everyone,Jul 25 2019,4.4.9,4.1 and up,"10,000,000+"
Medical,2.9,92,1.5M,Free,Everyone,Jul 20 2019,3.1-2018 – (13),4.0 and up,"10,000+"
Photography,3.5,6,3.5M,Free,Everyone,Dec 06 2019,1,4.1 and up,500+
Communication,4.3,541389,Varies with device,Free,Everyone,Aug 13 2019,7.5.3.20547,4.1 and up,"10,000,000+"
Tools,4.67,1159,3.4M,111.1242,Everyone,Feb 10 2020,3.3.4,4.1 and up,"100,000+"
Sports,4.61,1245,12M,Free,Everyone,May 01 2020,3.1.0,4.1 and up,"100,000+"
Education,3.99,3412,15M,Free,Everyone,Nov 18 2019,4.0.0,4.1 and up,"500,000+"
Entertainment,4.11,838,53M,Free,Mature 17+,Jan 28 2020,1,4.1 and up,"500,000+"
Education,4.2,6012,63M,Free,Everyone,May 01 2020,4.12.2,4.4 and up,"1,000,000+"
Game Arcade,4.34,23266,12M,Free,Everyone,Jul 25 2019,1.5.3,4.0.3 and up,"5,000,000+"
Family,4.3,259,49M,Free,Everyone,Mar 29 2018,1.3.2,4.0 and up,"10,000+"
Game,3.9,6121,61M,Free,Mature 17+,Jul 25 2019,2.1,4.1 and up,"500,000+"
Game Action,4.22,62398,54M,Free,Mature 17+,Jul 18 2019,1.0.4,3.0 and up,"5,000,000+"
Game Strategy,4.1,25326,27M,Free,Teen,Jun 15 2019,1.2.6,2.3 and up,"1,000,000+"
Game Casual,4.51,1170,32M,Free,Everyone,Feb 21 2020,3.0.2,4.0.3 and up,"100,000+"
Game Educational,4.49,42281,Varies with device,Free,Everyone,Jan 04 2020,Varies with device,Varies with device,"10,000,000+"
Music And Audio,4.74,85,23M,Free,Everyone,Feb 15 2020,2,4.1 and up,"10,000+"
Game Casual,4.36,65055,33M,Free,Everyone,May 03 2020,1.9.2,4.1 and up,"10,000,000+"
Game Action,4.47,97984,Varies with device,Free,Mature 17+,Oct 02 2019,Varies with device,Varies with device,"10,000,000+"
Books And Reference,4.58,1563,2.6M,Free,Everyone,Jun 27 2016,1.1,2.3 and up,"100,000+"
Food And Drink,4.7,6118,Varies with device,Free,Everyone,Aug 11 2019,Varies with device,Varies with device,"1,000,000+"
Family,4.7,39153,98M,Free,Everyone,Aug 29 2019,1.1.7,4.1 and up,"1,000,000+"
Game Casino,4.36,572818,Varies with device,Free,Teen,Feb 26 2020,Varies with device,Varies with device,"10,000,000+"
Entertainment,3.41,797,3.9M,Free,Everyone,Mar 19 2020,2.0.6,4.4 and up,"100,000+"
Medical,4.5,133,2.8M,222.9942,Everyone,Sep 06 2015,3.0,2.3 and up,"10,000+"
Music And Audio,5.0,1,5.5M,Free,Everyone,Jan 04 2020,1,4.1 and up,500+
Health And Fitness,3.8,40,30M,Free,Everyone,Apr 29 2020,2.0.1,4.1 and up,"5,000+"
Personalization,4.2,63699,2.3M,Free,Teen,Oct 25 2016,1.1.6,2.3 and up,"5,000,000+"
Food And Drink,4.39,1845,7.6M,Free,Everyone,Feb 21 2020,25.3.0,4.0.3 and up,"100,000+"
Game Adventure,4.0,3437,50M,73.8342,Everyone,Feb 15 2020,2.9.4,4.0.3 and up,"100,000+"
Finance,4.32,79,5.1M,Free,Everyone,Apr 22 2020,1.5.3,4.4 and up,"10,000+"
Personalization,4.67,500,9.2M,Free,Everyone,Apr 13 2020,3,4.0.3 and up,"50,000+"
Lifestyle,4.76,104,12M,Free,Everyone,Aug 23 2018,1.9.3,4.0.3 and up,"10,000+"
Entertainment,4.02,3182,6.9M,Free,Everyone,Sep 07 2019,1.0.0.vrtn.4,4.3 and up,"500,000+"
Education,2.01,366,4.0M,Free,Everyone,Mar 22 2020,1.5.3,4.1 and up,"50,000+"
Food And Drink,3.23,290,16M,Free,Everyone,Apr 14 2020,Varies with device,4.3 and up,"50,000+"
Game Board,4.29,7,9.4M,Free,Everyone,Oct 23 2017,1.04,2.3 and up,"1,000+"
Family,4.7,12784,15M,Free,Everyone,Sep 08 2019,1.3.3,4.1 and up,"1,000,000+"
Education,4.33,79,4.2M,Free,Everyone,Apr 17 2020,5.0.2,4.4 and up,"1,000+"
Tools,4.56,520699,Varies with device,Free,Everyone,Apr 25 2020,Varies with device,Varies with device,"10,000,000+"
Shopping,2.95,360,Varies with device,Free,Everyone,May 03 2020,Varies with device,Varies with device,"100,000+"
Education,4.76,290,17M,Free,Everyone,Feb 03 2020,2.1,4.1 and up,"10,000+"
Game Action,4.44,607821,86M,Free,Everyone 10+,Apr 15 2020,1.5.0,4.1 and up,"10,000,000+"
Game Music,4.46,853262,Varies with device,Free,Everyone,May 07 2020,6.22.060,4.1 and up,"100,000,000+"
Game Arcade,4.01,217,8.5M,Free,Everyone,Dec 14 2016,1.2,2.3.3 and up,"5,000+"
Lifestyle,4.56,7581,10M,Free,Everyone,Jan 26 2020,1.9,4.0 and up,"1,000,000+"
Game Simulation,3.38,47,62M,Free,Everyone,Feb 12 2020,1.1.2,4.1 and up,"1,000+"
Sports,4.25,4,1.9M,Free,Everyone,Jan 13 2020,1.0.25,4.0 and up,500+
Video Players,4.11,11168,16M,Free,Everyone,Sep 14 2019,4.1.3,4.0.3 and up,"1,000,000+"
Productivity,4.34,2024,2.9M,Free,Everyone,Apr 24 2020,2.1.3,4.0.3 and up,"100,000+"
Shopping,4.81,1312,6.7M,Free,Everyone,Jan 24 2020,1.2.0,4.4 and up,"50,000+"
Game Board,4.85,94800,31M,Free,Everyone,May 01 2020,1.6.6,4.1 and up,"5,000,000+"
Game Puzzle,4.65,3365,8.6M,297.5742,Everyone,Nov 28 2019,2,4.0.3 and up,"100,000+"
Photography,4.67,111,8.0M,Free,Everyone,Jan 05 2020,3,4.0 and up,"10,000+"
Finance,3.0,62,17M,Free,Everyone,Jul 31 2018,0.1.8,4.0 and up,"10,000+"
Game Educational,4.0,69,24M,Free,Everyone,Mar 30 2017,1.3,2.3.3 and up,"10,000+"
Entertainment,4.59,22,5.3M,Free,Everyone,Feb 02 2020,3.1,4.0.3 and up,"1,000+"
Entertainment,4.8,8774,3.6M,Free,Teen,Nov 26 2019,1,4.1 and up,"100,000+"
Health And Fitness,2.8,15,36M,Free,Everyone,Feb 28 2020,3.53,4.1 and up,"1,000+"
Shopping,4.3,125783,Varies with device,Free,Teen,Sep 10 2019,Varies with device,Varies with device,"10,000,000+"
Game Trivia,4.74,543,12M,Free,Everyone,May 01 2020,1.3.5,4.2 and up,"10,000+"
Game Educational,3.92,3779,36M,Free,Everyone,May 05 2020,1.6.9,4.0.3 and up,"1,000,000+"
Comics,4.5,438,3.4M,Free,Everyone,Jan 31 2019,1.0,2.3 and up,"10,000+"
Game,4.4,4638163,96M,Free,Everyone 10+,Aug 23 2019,1.10.12,4.1 and up,"100,000,000+"
Education,4.32,493,58M,Free,Everyone,Feb 06 2020,1.2.55,4.2 and up,"50,000+"
Game Trivia,4.32,702869,64M,Free,Everyone,Mar 21 2020,4.0.3,4.1 and up,"10,000,000+"
Education,4.73,73317,8.6M,Free,Everyone,May 02 2020,3.3.43.190329,5.0 and up,"1,000,000+"
Game Word,4.45,224773,2.6M,Free,Everyone,Apr 13 2020,1.6.5,4.1 and up,"5,000,000+"
